,precision,recall,f1-score,support
American Bullfrog,0.25,1.0,0.4,1.0
American Toad,0.7261904761904762,0.8840579710144928,0.7973856209150327,69.0
Green Frog,0.375,0.2727272727272727,0.3157894736842105,11.0
Northern Leopard Frog,0.9285714285714286,0.7959183673469388,0.8571428571428571,49.0
Common Yellowthroat,0.9137931034482759,0.8784530386740331,0.895774647887324,181.0
Eastern Bluebird,0.0,0.0,0.0,0.0
Gray Catbird,0.5,0.5,0.5,2.0
Indigo Bunting,1.0,1.0,1.0,5.0
Northern House Wren,0.9056910569105691,0.9416737109044802,0.9233319519270617,1183.0
Song Sparrow,0.9639546858908342,0.9580348004094166,0.9609856262833676,2931.0
Sora,1.0,1.0,1.0,2.0
Invertebrate,0.7894736842105263,0.7416750756811302,0.7648283038501561,991.0
Common Five-linked skink,0.9076142131979695,0.9076142131979695,0.9076142131979695,985.0
American Mink,0.9459459459459459,0.7954545454545454,0.8641975308641975,88.0
Brown Rat,0.1,0.3333333333333333,0.15384615384615385,3.0
Eastern Chipmunk,0.9428571428571428,0.6875,0.7951807228915663,48.0
Eastern Cottontail,0.839171974522293,0.8095238095238095,0.8240813135261923,651.0
Long-tailed Weasel,0.7955056179775281,0.7329192546583851,0.7629310344827587,483.0
Masked Shrew,0.583989501312336,0.5144508670520231,0.547019053472649,865.0
Meadow Jumping Mouse,0.0,0.0,0.0,38.0
Meadow_Vole,0.7880982367758187,0.8863314447592068,0.8343333333333334,2824.0
N. Short-tailed Shrew,0.9285714285714286,0.2565789473684211,0.4020618556701031,152.0
Raccoon,0.6,0.42857142857142855,0.5,14.0
Star-nosed mole,0.7692307692307693,0.4166666666666667,0.5405405405405406,24.0
Striped Skunk,1.0,0.5625,0.72,16.0
Virginia Opossum,0.7785234899328859,0.5497630331753555,0.6444444444444445,211.0
White-footed Mouse,0.7319148936170212,0.8159392789373814,0.7716464782413638,2108.0
Woodchuck,0.5,0.42857142857142855,0.46153846153846156,7.0
Woodland Jumping Mouse,0.7419354838709677,0.152317880794702,0.25274725274725274,302.0
Butler's Gartersnake,0.4,0.4444444444444444,0.42105263157894735,27.0
Dekay's Brownsnake,0.6972477064220184,0.6551724137931034,0.6755555555555556,116.0
Eastern Gartersnake,0.9171151776103337,0.9436708860759494,0.9302035405131405,6320.0
Eastern Hog-nosed snake,0.8666666666666667,1.0,0.9285714285714286,13.0
Eastern Massasauga,0.8762376237623762,0.7375,0.8009049773755657,240.0
Eastern Milksnake,0.4411764705882353,0.9375,0.6,16.0
Eastern Racer Snake,1.0,0.9607843137254902,0.98,51.0
Eastern Ribbonsnake,0.85,0.6296296296296297,0.723404255319149,27.0
Gray Ratsnake,1.0,0.9230769230769231,0.96,13.0
Kirtland's Snake,0.5789473684210527,0.9166666666666666,0.7096774193548387,12.0
Northern Watersnake,0.8,0.2857142857142857,0.42105263157894735,28.0
Plains Gartersnake,0.7609756097560976,0.6190476190476191,0.6827133479212254,252.0
Red-bellied Snake,1.0,1.0,1.0,2.0
Smooth Greensnake,0.8392857142857143,0.8392857142857143,0.8392857142857143,56.0
Painted Turtle,0.8,0.8,0.8,5.0
Snapping Turtle,0.0,0.0,0.0,0.0
accuracy,0.8527215012603865,0.8527215012603865,0.8527215012603865,0.8527215012603865
macro avg,0.7140818993454826,0.6654015392284944,0.6637742749453669,21422.0
weighted avg,0.8511273493076101,0.8527215012603865,0.8461175180609226,21422.0
